year,scenario,d_hvac_res,d_hvac_com,d_hvac_ind,d_hvac_total,d_aafs_res,d_aafs_com,d_aafs_total,d_ev_res,d_ev_com,d_ev_ind,d_ev_total,d_dc,d_residual,d_total,d_static,mnl_cec,mnl_hw,vs_static,capacity_clipped,clipped_sectors,clip_amount_mw,case,case_label,stress_total,headroom_mw,headroom_vs_mnl_only
2035,average,766.7496326304895,385.6465472689035,61.089780313413485,1213.4859602128065,32.760066068418574,14.04002831503653,46.800094383455104,18.907736616148952,10.418916546825486,6.157826429364241,35.48447959233868,122.47643207039063,3174.2367172897198,4592.48368354871,4625.0,60457.0,65049.48368354871,-32.51631645128964,False,,0.0,average,Average (Planning–LocalRel midpoint),65049.48368354871,-13945.483683548708,-9353.0
2036,average,762.1116597375816,382.842206326462,60.61887666460352,1205.5727427286472,36.86681748871192,15.8000646380194,52.66688212673132,20.281446883487977,11.53801589510991,6.932012341369123,38.75147511996701,127.39938487762005,3190.1202269789724,4614.510711831938,4625.0,61363.5,65978.01071183194,-10.489288168061648,False,,0.0,average,Average (Planning–LocalRel midpoint),65978.01071183194,-14874.010711831943,-10259.5
2037,average,753.5089356913264,378.05522523358286,59.83455486893749,1191.3987157938466,41.04067269038263,17.588859724449698,58.629532414832326,22.198074673442115,12.890300883680595,7.814906379205301,42.903281936328014,129.89770980807288,3206.908691051306,4629.737931004386,4625.0,62271.5,66901.23793100439,4.737931004386155,False,,0.0,average,Average (Planning–LocalRel midpoint),66901.23793100439,-15797.23793100439,-11167.5
2038,average,724.4442854268385,363.02602673056253,57.43056849713739,1144.9008806545385,45.053478816747706,19.308633778606158,64.36211259535386,24.08503300577298,14.196332194373328,8.667316127787199,46.948681327933514,134.7939045172861,3216.956805235863,4607.9623843309755,4625.0,63127.5,67735.46238433098,-17.03761566902449,False,,0.0,average,Average (Planning–LocalRel midpoint),67735.46238433098,-16631.462384330982,-12023.5
2039,average,691.7939021621522,346.2387995093439,54.750666057918274,1092.7833677294145,48.68379338926193,20.864482881112256,69.54827627037419,25.938918760139305,15.469866102370462,9.510523072065919,50.919307934575684,140.00453374910938,3227.566615244401,4580.822100927875,4625.0,63981.0,68561.82210092788,-44.177899072125,False,,0.0,average,Average (Planning–LocalRel midpoint),68561.82210092788,-17457.82210092788,-12877.0
2040,average,657.3348112397216,328.5883537712893,51.93665169469001,1037.859816705701,52.038982458129055,22.302421053483883,74.34140351161294,28.694631404944698,17.20742265859192,10.57057109273828,56.4726251562749,145.21516298093272,3237.864372017394,4551.753380371916,4625.0,65053.5,69605.25338037191,-73.24661962808386,False,,0.0,average,Average (Planning–LocalRel midpoint),69605.25338037191,-18501.253380371912,-13949.5
2041,average,639.596948849172,319.32928292017976,50.45084223475932,1009.377074004111,55.54851022416406,23.8065043817846,79.35501460594867,29.906525696619504,17.97873269425206,11.10663444339842,58.99189283426998,147.9552352493915,3248.0685128197233,4543.747729513445,4625.0,65707.5,70251.24772951344,-81.25227048655506,False,,0.0,average,Average (Planning–LocalRel midpoint),70251.24772951344,-19147.247729513445,-14603.5
2042,average,587.0440444094351,292.73198257207173,46.22825808992779,926.0042850714345,58.71580870517463,25.16391801650341,83.87972672167804,31.126520373331996,18.63726044592585,11.54894422521993,61.31272504447777,155.14231005190638,3258.615912181152,4484.954959070649,4625.0,66432.5,70917.45495907064,-140.04504092935076,False,,0.0,average,Average (Planning–LocalRel midpoint),70917.45495907064,-19813.454959070645,-15328.5
2043,average,547.3305012651097,272.59416792461167,43.02901267005321,862.9536818597745,61.681795842053155,26.435055360879925,88.11685120293308,32.69344159976536,19.4105356637549,12.033816976943644,64.1377942404639,160.3529392837297,3268.351973130164,4443.913239717065,4625.0,67177.0,71620.91323971706,-181.08676028293485,False,,0.0,average,Average (Planning–LocalRel midpoint),71620.91323971706,-20516.91323971706,-16073.0
2044,average,510.7169843235269,254.04750099210113,40.083625828845484,804.8481111444735,64.07740083722427,27.461743215953266,91.53914405317754,34.18630901032157,20.067289958349434,12.43989071682139,66.6934896854924,164.97961868784873,3277.77598084363,4405.836344414622,4625.0,67848.0,72253.83634441462,-219.16365558537836,False,,0.0,average,Average (Planning–LocalRel midpoint),72253.83634441462,-21149.836344414623,-16744.0
2045,average,460.64757854344356,228.86081020731737,36.09362812903278,725.6020168797937,66.29853600081432,28.413658286063278,94.7121942868776,36.19836796364877,20.93149079994478,12.920737241662462,70.05059600525601,170.95387461743923,3285.7333383500336,4347.0520201394,4625.0,68601.0,72948.0520201394,-277.94797986059984,False,,0.0,average,Average (Planning–LocalRel midpoint),72948.0520201394,-21844.052020139396,-17497.0
2046,average,404.54437550824616,200.7414757596347,31.64485002625015,636.930701294131,67.83521259435545,29.07223396900948,96.90744656336494,38.228688731765104,21.732949605952307,13.354994569718691,73.3166329074361,177.33240350467122,3293.316231973783,4277.803416243387,4625.0,69311.5,73589.30341624339,-347.1965837566131,False,,0.0,average,Average (Planning–LocalRel midpoint),73589.30341624339,-22485.30341624339,-18207.5
2047,average,358.35168060385695,177.6024657664385,27.984756042805355,563.9389024131008,69.37859956603432,29.73368552830043,99.11228509433475,38.98835146822903,21.814193112691303,13.396982364351942,74.19952694527227,182.40827508394742,3301.8040799806136,4221.463069517269,4625.0,69710.0,73931.46306951727,-403.5369304827309,False,,0.0,average,Average (Planning–LocalRel midpoint),73931.46306951727,-22827.463069517267,-18606.0
2048,average,292.4106820610898,144.7443674779629,22.79715205053643,459.95220158958915,70.78106859682079,30.33474368435177,101.11581228117257,39.68062283568115,21.82823697550813,13.395256838545098,74.90411664973438,189.41567301639947,3309.4181789279173,4134.8059824648135,4625.0,70110.5,74245.30598246481,-490.1940175351865,False,,0.0,average,Average (Planning–LocalRel midpoint),74245.30598246481,-23141.305982464808,-19006.5
2049,average,235.13387723565032,116.24996482064267,18.30113082378012,369.68497288007313,71.91512250209787,30.82076678661338,102.73588928871125,40.9445704891958,22.101924540982864,13.516043645024313,76.56253867520297,195.47976738102133,3317.2195098165485,4061.682678041557,4625.0,70582.0,74643.68267804156,-563.3173219584428,False,,0.0,average,Average (Planning–LocalRel midpoint),74643.68267804156,-23539.682678041558,-19478.0
2050,average,189.19398689442386,93.42313394931271,14.700952783900295,297.31807362763686,72.30432443408645,30.987567614608487,103.29189204869493,42.16533206626689,22.33060464166237,13.616699317090326,78.11263602501958,200.33104287271894,3325.208072646506,4004.2617172205764,4625.0,70960.0,74964.26171722058,-620.7382827794236,False,,0.0,average,Average (Planning–LocalRel midpoint),74964.26171722058,-23860.26171722058,-19856.0
