year,scenario,d_hvac_res,d_hvac_com,d_hvac_ind,d_hvac_total,d_aafs_res,d_aafs_com,d_aafs_total,d_ev_res,d_ev_com,d_ev_ind,d_ev_total,d_dc,d_residual,d_total,d_static,mnl_cec,mnl_hw,vs_static,capacity_clipped,clipped_sectors,clip_amount_mw,case,case_label,stress_total,headroom_mw,headroom_vs_mnl_only
2035,best,766.9380769125528,385.74132773391784,61.10479436663588,1213.7841990131064,23.580268775998128,10.10582947542777,33.686098251425896,17.610908109759404,7.176845280851598,4.212583669779908,29.000337060390912,95.10547613258406,3175.016850378583,4546.59296083609,4625.0,57350.0,61896.59296083609,-78.40703916390976,False,,0.0,best,"Best (Planning, co-occurring peak)",61896.59296083609,-10792.59296083609,-6246.0
2036,best,762.290576687926,382.9320841798498,60.633107839796224,1205.855768707572,27.19045221409915,11.653050948899637,38.843503162998786,18.970047270285054,8.259516862102606,4.964912921564743,32.1944770539524,100.73929854673678,3190.869154744281,4568.502202215541,4625.0,58229.0,62797.50220221554,-56.49779778445918,False,,0.0,best,"Best (Planning, co-occurring peak)",62797.50220221554,-11693.502202215539,-7125.0
2037,best,753.6849069514132,378.1435146369536,59.84852837544588,1191.6769499638126,31.069050777709545,13.315307476161234,44.38435825387078,20.88667506023919,9.611801850673293,5.847806959400919,36.34628387031341,103.16004750564456,3207.6576188166146,4583.225258410255,4625.0,59103.0,63686.22525841025,-41.774741589744735,False,,0.0,best,"Best (Planning, co-occurring peak)",63686.22525841025,-12582.225258410253,-7999.0
2038,best,724.6129406101758,363.11054147148343,57.44393869447885,1145.1674207761382,35.01475312269728,15.00632276687026,50.02107588956754,22.817346713010156,11.027116462466271,6.765786688642963,40.61024986411939,107.0484276745144,3217.7057330011717,4560.552907205511,4625.0,59958.0,64518.55290720551,-64.44709279448944,False,,0.0,best,"Best (Planning, co-occurring peak)",64518.55290720551,-13414.552907205507,-8854.0
2039,best,691.9544267067901,346.31914110451186,54.76337045688753,1093.0369382681895,38.94703471140954,16.691586304889807,55.63862101629935,24.755591506822284,12.51154796907791,7.735532192090387,45.00267166799058,111.18652033129338,3228.3155430097095,4533.180294293483,4625.0,60866.0,65399.18029429348,-91.8197057065172,False,,0.0,best,"Best (Planning, co-occurring peak)",65399.18029429348,-14295.180294293481,-9762.0
2040,best,657.4868547581272,328.66435724556175,51.94866479839734,1038.0998768020863,42.839054031295404,18.359594584840885,61.19864861613629,27.59489629071488,14.458084873017375,8.920968421393553,50.97394958512581,115.32461298807236,3238.6132997827026,4504.210387774123,4625.0,62015.0,66519.21038777412,-120.78961222587714,False,,0.0,best,"Best (Planning, co-occurring peak)",66519.21038777412,-15415.210387774117,-10911.0
2041,best,639.7382799455004,319.3998447915678,50.46199030677023,1009.6001150438384,46.7981771325586,20.056361628239404,66.85453876079801,28.938697444068573,15.559162062874739,9.65489206457203,54.152751571515346,117.50067895413714,3248.786235261477,4496.894319591765,4625.0,62774.0,67270.89431959177,-128.10568040823455,False,,0.0,best,"Best (Planning, co-occurring peak)",67270.89431959177,-16166.894319591767,-11670.0
2042,best,587.1733430737531,292.79645789502274,46.23844003808262,926.2082410068585,50.40836057065963,21.60358310171127,72.0119436723709,30.269125772419212,16.493773943643884,10.262852323850751,57.02575203991385,123.20839296348744,3259.333634622906,4437.787964305537,4625.0,63592.0,68029.78796430553,-187.21203569446334,False,,0.0,best,"Best (Planning, co-occurring peak)",68029.78796430553,-16925.787964305535,-12488.0
2043,best,547.450693761831,272.65402896571715,43.038461740500246,863.1431844680483,53.776970395802216,23.04727302677238,76.8242434225746,31.921939839015568,17.48178126188043,10.87656433581896,60.280285436714955,127.34648562026644,3269.069695571918,4396.663894519523,4625.0,64414.0,68810.66389451953,-228.33610548047727,False,,0.0,best,"Best (Planning, co-occurring peak)",68810.66389451953,-17706.66389451953,-13310.0
2044,best,510.8288141261663,254.10312883054988,40.09240279163134,805.0243457483475,56.68927450757888,24.29540336039095,80.98467786796982,33.49149728543161,18.330260646124508,11.397673129486439,63.219431061042556,131.02082651378572,3278.4937032853836,4358.742984476529,4625.0,65166.0,69524.74298447653,-266.2570155234707,False,,0.0,best,"Best (Planning, co-occurring peak)",69524.74298447653,-18420.74298447653,-14062.0
2045,best,460.7438256869461,228.90862810600638,36.10116948769366,725.7536232806461,59.91025601369132,25.675824005867707,85.58608001955902,35.561073765653674,19.33825530495702,11.964795944669806,66.8641250152805,135.76536378405817,3286.419855468233,4300.389047567777,4625.0,66026.0,70326.38904756778,-324.6109524322228,False,,0.0,best,"Best (Planning, co-occurring peak)",70326.38904756778,-19222.389047567776,-14922.0
2046,best,404.6248726977216,200.78141976970656,31.651146792792225,637.0574392602205,62.742035587815174,26.88944382334936,89.63147941116453,37.64200995743747,20.26625267013325,12.474976408227258,70.38323903579798,140.83095996735656,3293.971543768428,4231.874661442967,4625.0,66861.0,71092.87466144297,-393.1253385570326,False,,0.0,best,"Best (Planning, co-occurring peak)",71092.87466144297,-19988.87466144297,-15757.0
2047,best,358.42280295916396,177.6377146751428,27.9903102005509,564.0508278348576,65.49329062428622,28.06855312469409,93.56184374898031,38.46455852330646,20.50471075038488,12.611292946968089,71.58056222065943,144.86203298646026,3302.459391775258,4176.514658566216,4625.0,67386.0,71562.51465856622,-448.485341433784,False,,0.0,best,"Best (Planning, co-occurring peak)",71562.51465856622,-20458.514658566215,-16282.0
2048,best,292.46858352850023,144.77302891815822,22.801666210372183,460.0432786570306,67.97613053524789,29.132627372249093,97.10875790749698,39.214347417653435,20.662548430438868,12.69584371150354,72.57273955959585,150.42705414557682,3310.073490722562,4090.2253209922624,4625.0,67899.0,71989.22532099226,-534.7746790077376,False,,0.0,best,"Best (Planning, co-occurring peak)",71989.22532099226,-20885.225320992264,-16795.0
2049,best,235.18032758438878,116.27292982879139,18.304746185033324,369.75800359821346,69.85503641381347,29.937872748777203,99.79290916259066,40.525842893401176,21.05510555149632,12.88795225133239,74.4689006962299,155.24293784096608,3317.874821611193,4017.137572909193,4625.0,68448.0,72465.1375729092,-607.8624270908072,False,,0.0,best,"Best (Planning, co-occurring peak)",72465.1375729092,-21361.137572909196,-17344.0
2050,best,189.23127209534334,93.44154521267794,14.703849958315049,297.37666726633637,70.29792137090394,30.12768058753025,100.42560195843419,41.79491919306396,21.404572458655043,13.06108000728593,76.26057165900494,159.09564479727757,3325.863384441151,3959.021870122204,4625.0,68851.0,72810.0218701222,-665.9781298777962,False,,0.0,best,"Best (Planning, co-occurring peak)",72810.0218701222,-21706.021870122204,-17747.0
